#Generated from excel Sequence Generator on 5/08/2015 3:43:12 PM
&	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	1	1	1	1	1	1	1536	1	1	1	1598	
% 625
! DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, READMINMAX, IMPEDANCE_MP145, IMPEDANCE_MP290, IMPEDANCE_MP580, IMPEDANCE_MP25, IMPEDANCE_CG145, WARMDOWN, COMPLIANCEON_A, COMPLIANCEON_B, COMPLIANCE_OFF, COMPLIANCE_WARMDOWN, 
@ 14_514_PCB1
*	10	5	20	250	5	20	500	50	20	625	0
*	10	6	20	250	1	20	500	50	20	625	0
*	10	7	20	250	4	20	500	50	20	625	0
*	10	8	20	250	1	20	500	50	20	625	0
*	10	9	20	250	1	20	500	50	20	625	0
*	10	10	20	250	5	20	500	50	20	625	0
*	10	11	20	250	1	20	500	50	20	625	0
*	10	12	20	250	1	20	500	50	20	625	0
*	10	13	20	250	23	23	0	50	20	625	0
*	10	14	20	250	23	23	0	50	20	625	0
*	10	15	20	250	23	23	0	50	20	625	0
*	10	16	20	250	23	23	0	50	20	625	0
*	11	0	31	-24	1	20	0	50	20	625	16
*	11	1	20	0	0	31	-24	50	20	625	16
*	11	0	31	-24	1	20	0	50	20	625	0
*	11	1	20	0	0	31	-24	50	20	625	0
*	12	1	20	300	1	20	600	50	20	625	0
*	12	2	20	300	2	20	600	50	20	625	0
*	12	3	20	300	3	20	600	50	20	625	0
*	12	4	20	300	4	20	600	50	20	625	0
*	12	5	20	300	5	20	600	50	20	625	0
*	12	6	20	300	1	20	600	50	20	625	0
*	12	7	20	300	4	20	600	50	20	625	0
*	12	8	20	300	1	20	600	50	20	625	0
*	12	9	20	300	1	20	600	50	20	625	0
*	12	10	20	300	5	20	600	50	20	625	0
*	12	11	20	300	1	20	600	50	20	625	0
*	12	12	20	300	1	20	600	50	20	625	0
*	12	13	20	300	23	23	0	50	20	625	0
*	12	14	20	300	23	23	0	50	20	625	0
*	12	15	20	300	23	23	0	50	20	625	0
*	12	16	20	300	23	23	0	50	20	625	0
